"Check","Browser","Google","Bing","OpenAI","Claude","Perplexity"
"HTTP 200","True","True","True","True","True","True"
"Canonical product URL","True","True","True","True","True","True"
"Indexable (no noindex)","True","True","True","True","True","True"
"Product JSON-LD","True","True","True","True","True","True"
"Schema product ID","True","True","True","True","True","True"
"Schema offer","False","True","True","True","False","True"
"Product name","True","True","True","True","True","True"
"Schema description","True","True","True","True","True","True"
"Additional properties","True","True","True","True","True","True"
"Next.js product ID","True","False","False","False","True","False"
"General description","True","False","False","False","True","False"
"Application","True","False","False","False","True","False"
"Packaging","True","True","True","True","True","True"
"Storage temperature","True","True","True","True","True","True"
"Next.js payload","True","False","False","False","True","False"
